Lines in Repo,Issues Found
6545,12
351615,1337
2604,3
656545,4099
647,1
290455,916
2347,6
555,12
888,7
1146,5
40987,268
307,1
5791,27
10739,55
336,42
3890,21
118254,72
9837,48
12154,17
27549,236
626,49
357,3
114529,948
7032,35
5036,15
32,2
2032,26
171,6
34408,18
24049,420
43,1
21,2
172884,679
1570,4
136764,488
5701,126
32457,411
1480,10
1855,6
42420,189
5443,49
40695,126
