Vulnerable Files,Lines in Repo
5,6545
440,351615
2,2604
623,656545
1,647
256,290455
2,2347
1,555
3,888
2,1146
52,40987
1,307
6,5791
8,10739
3,336
12,3890
23,118254
14,9837
5,12154
54,27549
4,626
1,357
200,114529
12,7032
9,5036
1,32
11,2032
1,171
13,34408
72,24049
1,43
1,21
197,172884
1,1570
105,136764
18,5701
105,32457
1,1480
1,1855
46,42420
19,5443
41,40695
