Files Scanned,Vulnerable Files
121,5
2246,440
22,2
1994,623
4,1
2680,256
5,2
5,1
6,3
4,2
201,52
8,1
10,6
51,8
5,3
39,12
816,23
96,14
66,5
117,54
4,4
1,1
448,200
42,12
43,9
1,1
24,11
2,1
318,13
163,72
2,1
1,1
660,197
7,1
290,105
44,18
224,105
10,1
3,1
84,46
46,19
353,41
