Files Scanned,Issues Found
121,12
2246,1337
22,3
1994,4099
4,1
2680,916
5,6
5,12
6,7
4,5
201,268
8,1
10,27
51,55
5,42
39,21
816,72
96,48
66,17
117,236
4,49
1,3
448,948
42,35
43,15
1,2
24,26
2,6
318,18
163,420
2,1
1,2
660,679
7,4
290,488
44,126
224,411
10,10
3,6
84,189
46,49
353,126
